Overall,Team,Player,Nat.,Pos,Age,Start,End,Amateur Team,GP,G,A,PTS,+/-,PIM,GP,W,L,T/O,SV%,GAA,PS
1,Washington Capitals,Alex Ovechkin\ovechal01,RU,LW,18,2004,2022,Dynamo Moscow (Russia),1274,780,630,1410,83,749,,,,,,,188.8
2,Pittsburgh Penguins,Evgeni Malkin\malkiev01,RU,C,18,2004,2022,Magnitogorsk (KHL),981,444,702,1146,59,1008,,,,,,,137
3,Chicago Blackhawks,Cam Barker\barkeca01,CA,D,18,2004,2013,Medicine Hat (WHL),310,21,75,96,-29,290,,,,,,,15.1
4,Carolina Hurricanes,Andrew Ladd\laddan01,CA,LW,18,2004,2022,Calgary (WHL),1001,256,294,550,20,615,,,,,,,59.3
5,Phoenix Coyotes,Blake Wheeler\wheelbl01,US,RW,18,2004,2022,Breck (High-MN),1046,296,571,867,68,695,,,,,,,93.3
6,New York Rangers,Al Montoya\montoal01,US,G,19,2004,2018,Michigan (CCHA),169,0,5,5,0,12,168,67,49,24,0.908,2.65,23.7
7,Florida Panthers,Rostislav Olesz\oleszro01,CZ,LW,18,2004,2014,Vitkovice (Czech),365,57,77,134,-11,118,,,,,,,9.8
8,Columbus Blue Jackets,Alexandre Picard\picaral02,CA,LW,18,2004,2010,Lewiston (QMJHL),67,0,2,2,-9,58,,,,,,,-1.1
9,Anaheim Ducks,Ladislav Smid\smidla01,CZ,D,18,2004,2016,Liberec (Czech),583,12,60,72,-68,472,,,,,,,15.1
10,Atlanta Thrashers,Boris Valabik\valabbo01,SK,D,18,2004,2010,Kitchener (OHL),80,0,7,7,-14,210,,,,,,,0.2
11,Los Angeles Kings,Lauri Tukonen\tukonla01,FI,RW,18,2004,2008,Blues Espoo (Finland),5,0,0,0,-2,0,,,,,,,-0.1
12,Minnesota Wild,A.J. Thelen\thelea.01,US,D,18,2004,,Michigan State (CCHA),,,,,,,,,,,,,
13,Buffalo Sabres,Drew Stafford\staffdr01,US,RW,18,2004,2019,North Dakota (WCHA),841,196,232,428,-58,415,,,,,,,43.6
14,Edmonton Oilers,Devan Dubnyk\dubnyde01,CA,G,18,2004,2021,Kamloops (WHL),542,0,8,8,0,46,542,253,206,54,0.914,2.61,93.8
15,Nashville Predators,Alexander Radulov\radulal01,RU,RW,18,2004,2022,Tver (Russia-2),524,144,224,368,62,344,,,,,,,41.8
16,New York Islanders,Petteri Nokelainen\nokelpe01,FI,C,18,2004,2012,SaiPa (Finland),245,20,21,41,-14,103,,,,,,,1.6
17,St. Louis Blues,Marek Schwarz\schwama01,CZ,G,18,2004,2009,Sparta Praha (Czech),6,0,0,0,0,0,6,0,2,0,0.809,4.32,-0.3
18,Montreal Canadiens,Kyle Chipchura\chipcky01,CA,C,18,2004,2016,Prince Albert (WHL),482,31,73,104,-45,376,,,,,,,4.3
19,New York Rangers,Lauri Korpikoski\korpila01,FI,LW,18,2004,2017,TPS Turku Jr. (Finland-Jr.),609,86,115,201,-49,132,,,,,,,14.8
20,New Jersey Devils,Travis Zajac\zajactr01,CA,C,19,2004,2021,Salmon Arm (BCHL),1037,203,349,552,-20,344,,,,,,,52.4
21,Colorado Avalanche,Wojtek Wolski\wolskwo01,PL,LW,18,2004,2013,Brampton (OHL),451,99,168,267,17,113,,,,,,,26.8
22,San Jose Sharks,Lukas Kaspar\kaspalu01,CZ,RW,18,2004,2009,Chemopetrol Litvinov (Russia),16,2,2,4,-2,8,,,,,,,0.3
23,Ottawa Senators,Andrej Meszaros\meszaan01,SK,D,18,2004,2015,Dukla Trencin (Slovakia),645,63,175,238,25,457,,,,,,,41.7
24,Calgary Flames,Kris Chucko\chuckkr01,CA,LW,18,2004,2009,Salmon Arm (BCHL),2,0,0,0,0,2,,,,,,,0
25,Edmonton Oilers,Rob Schremp\schrero01,US,C,18,2004,2011,London (OHL),114,20,34,54,-23,26,,,,,,,4.3
26,Vancouver Canucks,Cory Schneider\schneco01,US,G,18,2004,2022,Andover (High-MA),410,0,9,9,0,4,410,171,159,58,0.918,2.43,74.9
27,Washington Capitals,Jeff Schultz\schulje02,CA,D,18,2004,2016,Calgary (WHL),409,11,65,76,78,137,,,,,,,20
28,Dallas Stars,Mark Fistric\fistrma01,CA,D,18,2004,2015,Vancouver (WCHL),325,4,30,34,28,284,,,,,,,10.2
29,Washington Capitals,Mike Green\greenmi03,CA,D,18,2004,2020,Saskatoon (WHL),880,150,351,501,-17,592,,,,,,,84.8
30,Tampa Bay Lightning,Andy Rogers\rogeran01,CA,D,18,2004,,Calgary (WHL),,,,,,,,,,,,,
31,Pittsburgh Penguins,Johannes Salmonsson\salmojo01,SE,LW,18,2004,,Djurgarden (Sweden),,,,,,,,,,,,,
32,Chicago Blackhawks,Dave Bolland\bollada01,CA,C,18,2004,2016,London (OHL),433,85,123,208,34,299,,,,,,,20.3
33,Washington Capitals,Chris Bourque\bourqch01,US,C,18,2004,2013,Cushing Academy (High-MA),51,2,6,8,-12,18,,,,,,,-0.4
34,Dallas Stars,Johan Fransson\fransjo01,SE,D,19,2004,,Lulea (Sweden),,,,,,,,,,,,,
35,Phoenix Coyotes,Logan Stephenson\stephlo01,CA,D,18,2004,,Tri-City (WHL),,,,,,,,,,,,,
36,New York Rangers,Darin Olver\olverda01,CA,C,19,2004,,Northern Michigan (CCHA),,,,,,,,,,,,,
37,Florida Panthers,David Shantz\shantda01,CA,G,18,2004,,Mississauga (OHL),,,,,,,,,,,,,
